sf/280NB-Geneva Ave 5_21_2012 AM.txt,I-280 NB ON-RAMP / GENEVA AV / I-280 NB OFF-RAMP,Peds only,5/21/2012,08:00-08:15,0,0,0,0,0,0,0,0,0,0,0,0,19,4,44,0,,,,,,
sf/280NB-Geneva Ave 5_21_2012 AM.txt,I-280 NB ON-RAMP / GENEVA AV / I-280 NB OFF-RAMP,Peds only,5/21/2012,08:15-08:30,0,0,0,0,0,0,0,0,0,0,0,0,13,2,41,0,,,,,,
sf/280NB-Geneva Ave 5_21_2012 AM.txt,I-280 NB ON-RAMP / GENEVA AV / I-280 NB OFF-RAMP,Peds only,5/21/2012,08:30-08:45,0,0,0,0,0,0,0,0,0,0,0,0,11,2,27,0,,,,,,
sf/280NB-Geneva Ave 5_21_2012 AM.txt,I-280 NB ON-RAMP / GENEVA AV / I-280 NB OFF-RAMP,Peds only,5/21/2012,08:45-09:00,0,0,0,0,0,0,0,0,0,0,0,0,22,4,26,0,,,,,,
sf/280NB_Geneva Ave 5_21_2012 PM.txt,I-280 NB ON-RAMP / GENEVA AV / I-280 NB OFF-RAMP,Peds only,5/21/2012,16:00-16:15,0,0,0,0,0,0,0,0,0,0,0,0,20,10,21,0,,,,,,
sf/280NB_Geneva Ave 5_21_2012 PM.txt,I-280 NB ON-RAMP / GENEVA AV / I-280 NB OFF-RAMP,Peds only,5/21/2012,16:15-16:30,0,0,0,0,0,0,0,0,0,0,0,0,11,4,16,0,,,,,,
sf/280NB_Geneva Ave 5_21_2012 PM.txt,I-280 NB ON-RAMP / GENEVA AV / I-280 NB OFF-RAMP,Peds only,5/21/2012,16:30-16:45,0,0,0,0,0,0,0,0,0,0,0,0,26,14,23,0,,,,,,
sf/280NB_Geneva Ave 5_21_2012 PM.txt,I-280 NB ON-RAMP / GENEVA AV / I-280 NB OFF-RAMP,Peds only,5/21/2012,16:45-17:00,0,0,0,0,0,0,0,0,0,0,0,0,15,4,18,0,,,,,,
sf/280NB_Geneva Ave 5_21_2012 PM.txt,I-280 NB ON-RAMP / GENEVA AV / I-280 NB OFF-RAMP,Peds only,5/21/2012,17:00-17:15,0,0,0,0,0,0,0,0,0,0,0,0,12,3,19,0,,,,,,
sf/280NB_Geneva Ave 5_21_2012 PM.txt,I-280 NB ON-RAMP / GENEVA AV / I-280 NB OFF-RAMP,Peds only,5/21/2012,17:15-17:30,0,0,0,0,0,0,0,0,0,0,0,0,28,9,18,0,,,,,,
sf/280NB_Geneva Ave 5_21_2012 PM.txt,I-280 NB ON-RAMP / GENEVA AV / I-280 NB OFF-RAMP,Peds only,5/21/2012,17:30-17:45,0,0,0,0,0,0,0,0,0,0,0,0,21,3,24,0,,,,,,
sf/280NB_Geneva Ave 5_21_2012 PM.txt,I-280 NB ON-RAMP / GENEVA AV / I-280 NB OFF-RAMP,Peds only,5/21/2012,17:45-18:00,0,0,0,0,0,0,0,0,0,0,0,0,25,6,24,0,,,,,,
sf/15th St_Church St_AM_11-14-12.txt,Church St -- 15th St / San Francisco  CA,x,Wed  Nov 14 2012,07:40-08:40,11,217,51,66,197,16,52,287,26,18,175,13,131,98,78,163,8,13,6,27,,
sf/15th St_Church St_AM_11-15-12.txt,Church St -- 15th St / San Francisco  CA,x,Thu  Nov 15 2012,07:50-08:50,13,204,57,92,211,12,50,341,17,18,194,15,109,85,70,151,6,18,5,23,,
sf/15th St_Church St_PM_11-14-12.txt,Church St -- 15th St / San Francisco  CA,x,Wed  Nov 14 2012,17:00-18:00,27,280,65,107,202,49,32,263,11,55,125,22,116,167,99,224,3,19,25,30,,
sf/15th St_Church St_PM_11-15-12.txt,Church St -- 15th St / San Francisco  CA,x,Thu  Nov 15 2012,17:00-18:00,16,244,63,119,214,34,30,237,19,28,113,16,135,152,86,242,2,25,14,37,,
sf/16th St_Church St_AM_11-14-12.txt,Church St -- 16th St / San Francisco  CA,x,Wed  Nov 14 2012,07:40-08:40,20,173,58,70,391,46,48,278,24,47,417,22,133,169,193,152,19,9,7,12,,
sf/16th St_Church St_AM_11-15-12.txt,Church St -- 16th St / San Francisco  CA,x,Thu  Nov 15 2012,07:35-08:35,13,172,66,90,421,44,43,298,36,42,417,12,156,149,202,94,22,17,11,18,,
sf/16th St_Church St_PM_11-14-12.txt,Church St -- 16th St / San Francisco  CA,x,Wed  Nov 14 2012,16:55-17:55,32,282,60,103,540,64,36,193,34,45,385,14,113,110,156,110,15,20,27,23,,
sf/16th St_Church St_PM_11-15-12.txt,Church St -- 16th St / San Francisco  CA,x,Thu  Nov 15 2012,16:55-17:55,25,234,62,115,516,56,23,182,18,42,310,15,183,127,175,85,12,16,10,18,,
sf/17th St_Potrero Ave_040913_AM.txt,Potrero Ave -- 17th St / San Francisco  CA,x,Tue  Apr 16 2013,08:00-09:00,45,463,60,62,247,51,68,713,46,41,235,21,39,26,36,49,141,8,8,37,,
sf/17th St_Potrero Ave_040913_PM.txt,Potrero Ave -- 17th St / San Francisco  CA,x,Tue  Apr 16 2013,16:30-17:30,79,1009,61,44,286,83,61,999,65,52,185,29,41,41,44,82,16,22,65,5,,
sf/17th_Church St_11-15-12_AM.txt,Church St -- 17th St / San Francisco  CA,x,Thu  Nov 15 2012,07:35-08:35,32,140,53,89,175,16,66,287,58,26,255,39,100,141,69,69,47,9,27,4,,
sf/17th_Church St_11-15-12_PM.txt,Church St -- 17th St / San Francisco  CA,x,Thu  Nov 15 2012,17:00-18:00,22,226,56,55,222,27,22,169,21,15,139,12,78,109,85,133,34,6,61,5,,
sf/19th Ave_Holloway Ave_AM_20120522.txt,19th Ave -- Holloway Ave / San Francisco  CA,x,Tue  May 22 2012,07:30-08:30,51,2653,0,48,103,18,105,1725,0,30,99,20,342,34,35,118,1,0,2,0,,
sf/19th Ave_Holloway Ave_PM_20120522.txt,19th Ave -- Holloway Ave / San Francisco  CA,x,Tue  May 22 2012,16:45-17:45,63,2566,0,36,117,23,76,1939,0,60,109,45,305,14,49,129,7,1,3,0,,
sf/19th Ave_Irving St_AM_20120522.txt,19th Ave -- Irving St / San Francisco  CA,x,Tue  May 22 2012,07:30-08:30,147,2027,0,200,88,0,111,2211,0,63,145,233,81,39,85,99,17,0,2,0,,
sf/19th Ave_Irving St_PM_20120522.txt,19th Ave -- Irving St / San Francisco  CA,x,Tue  May 22 2012,16:45-17:45,183,2265,0,112,251,7,119,2407,0,86,139,113,168,61,181,106,5,1,13,0,,
sf/19th Ave_Lincoln Way_AM_20120522.txt,19th Ave -- Lincoln Way / San Francisco  CA,x,Tue  May 22 2012,07:45-08:45,269,2115,0,314,541,0,262,2144,0,18,979,0,70,51,14,51,1,2,2,2,,
sf/19th Ave_Lincoln Way_PM_20120522.txt,19th Ave -- Lincoln Way / San Francisco  CA,x,Tue  May 22 2012,16:45-17:45,369,2427,0,202,949,1,224,2326,0,52,723,0,38,50,25,85,1,1,0,0,,
sf/19th Ave_Quintara St_AM_20120522.txt,19th Ave -- Quintara St / San Francisco  CA,x,Tue  May 22 2012,07:30-08:30,47,2239,0,10,144,26,58,2283,0,71,93,66,12,17,198,29,0,0,4,0,,
sf/19th Ave_Quintara St_PM_20120522.txt,19th Ave -- Quintara St / San Francisco  CA,x,Tue  May 22 2012,17:00-18:00,85,2594,1,16,104,30,50,2502,0,40,75,41,18,23,22,21,1,1,1,0,,
sf/19th Ave_Taraval_AM_052913.txt,19th St -- Taraval St / San Francisco  CA,x,Wed  May 29 2013,07:35-08:35,57,2412,0,49,240,6,106,2292,0,64,242,1,98,30,40,91,0,0,1,0,,
sf/19th Ave_Taraval_PM_052913.txt,19th St -- Taraval St / San Francisco  CA,x,Wed  May 29 2013,16:05-17:05,102,2388,0,53,282,6,96,2352,0,84,204,8,152,74,86,63,1,1,3,0,,
sf/21st St_Potrero Ave_040913_AM.txt,Potrero Ave -- 21st St / San Francisco  CA,x,Tue  Apr 09 2013,07:45-08:45,16,748,2,0,0,0,0,1122,81,72,0,22,11,7,102,43,0,11,1,21,,
sf/21st St_Potrero Ave_040913_PM.txt,Potrero Ave -- 21st St / San Francisco  CA,x,Tue  Apr 09 2013,16:15-17:15,39,1262,0,0,0,0,0,762,113,52,0,24,41,80,42,35,0,18,2,23,,
sf/22nd St (North)_Potrero Ave_040913_AM.txt,Potrero Ave -- 22nd St (North) / San Francisco  CA,x,Tue  Apr 09 2013,07:45-08:45,0,723,97,44,0,46,160,1167,0,0,0,0,38,85,35,35,0,8,0,40,,
sf/22nd St (North)__Potrero Ave_040913_PM.txt,Potrero Ave -- 22nd St (North) / San Francisco  CA,x,Tue  Apr 09 2013,16:00-17:00,0,1242,77,58,0,81,107,858,0,0,0,0,33,86,23,22,0,9,0,14,,
sf/22nd St (South) Potrero Ave_040913_PM.txt,Potrero Ave -- 22nd St (South) / San Francisco  CA,x,Tue  Apr 09 2013,16:00-17:00,48,1230,0,0,0,0,0,926,9,74,0,42,27,45,20,48,0,18,0,12,,
sf/22nd St (South)_Potrero Ave_040913_AM.txt,Potrero Ave -- 22nd St (South) / San Francisco  CA,x,Tue  Apr 09 2013,07:45-08:45,21,729,0,0,0,0,0,1279,6,104,0,82,34,106,18,30,0,8,0,17,,
sf/23rd St_Potrero Ave_040913_AM.txt,Potrero Ave -- 23rd St / San Francisco  CA,x,Tue  Apr 09 2013,07:45-08:45,19,671,141,156,15,93,89,1111,0,40,16,42,2,81,114,48,6,7,3,18,,
sf/23rd St_Potrero Ave_040913_PM.txt,Potrero Ave -- 23rd St / San Francisco  CA,x,Tue  Apr 09 2013,16:00-17:00,30,1184,91,196,24,93,86,708,0,52,46,24,1,75,86,51,2,14,5,9,,
sf/24th St_Potrero Ave_040913_AM.txt,Potrero Ave -- 24th St / San Francisco  CA,x,Tue  Apr 09 2013,07:45-08:45,36,725,37,59,70,39,96,1089,127,83,161,26,291,76,93,120,5,8,8,9,,
sf/24th St_Potrero Ave_040913_PM.txt,Potrero Ave -- 24th St / San Francisco  CA,x,Tue  Apr 09 2013,16:15-17:15,50,1295,14,68,81,71,34,638,140,113,119,23,292,50,155,126,5,12,8,1,,
sf/25th Ave_Crossover Dr_Fulton St_AM_20120522.txt,25th Ave/Crossover Dr -- Fulton St / San Francisco  CA,x,Tue  May 22 2012,07:45-08:45,40,618,0,40,479,0,147,648,0,120,934,0,25,26,23,33,1,5,1,4,,
sf/25th Ave_Crossover Dr_Fulton St_PM_20120522.txt,25th Ave/Crossover Dr -- Fulton St / San Francisco  CA,x,Tue  May 22 2012,17:00-18:00,43,620,0,36,831,0,148,635,3,109,484,0,28,17,33,50,3,3,1,11,,
sf/25th St (North)_Potrero Ave_040913_AM.txt,Potrero Ave -- 25th St (North) / San Francisco  CA,x,Tue  Apr 09 2013,07:45-08:45,0,840,16,16,0,188,224,1302,3,4,0,0,36,18,118,25,1,10,0,12,,
sf/25th St (North)_Potrero Ave_040913_PM.txt,Potrero Ave -- 25th St (North) / San Francisco  CA,x,Tue  Apr 09 2013,16:00-17:00,0,1455,8,16,0,262,87,845,2,0,0,0,26,43,64,77,0,12,0,8,,
sf/25th St (South)_Potrero Ave_040913_AM.txt,Potrero Ave -- 25th St (South) / San Francisco  CA,x,Tue  Apr 09 2013,07:30-08:30,63,0,0,0,0,0,0,0,5,230,0,2,0,25,1,33,0,0,0,0,,
sf/25th St (South)_Potrero Ave_040913_PM.txt,Potrero Ave -- 25th St (South) / San Francisco  CA,x,Tue  Apr 09 2013,16:30-17:30,76,0,0,0,0,0,0,0,2,252,0,0,1,66,11,52,0,0,0,0,,
sf/BayshoreBlvd_CortlandAve_AM_052913.txt,Bayshore Blvd -- Cortland Ave / San Francisco  CA,x,Wed  May 29 2013,07:45-08:45,126,447,1,0,0,0,0,1167,222,232,0,246,75,2,30,36,0,6,0,14,,
sf/BayshoreBlvd_CortlandAve_PM_052913.txt,Bayshore Blvd -- Cortland Ave / San Francisco  CA,x,Wed  May 29 2013,17:00-18:00,177,949,2,0,0,0,0,945,253,181,0,140,50,0,23,79,0,7,2,8,,
sf/BayshoreBlvd_IndustrialSt_AM_052913.txt,Bayshore Blvd -- Industrial St / San Francisco  CA,x,Wed  May 29 2013,07:40-08:40,288,253,128,117,496,51,162,743,223,44,619,556,11,31,6,9,3,6,0,6,,
sf/BayshoreBlvd_IndustrialSt_PM_052913.txt,Bayshore Blvd -- Industrial St / San Francisco  CA,x,Wed  May 29 2013,16:45-17:45,468,488,84,78,716,80,66,500,207,34,337,653,5,19,2,6,0,3,4,2,,
sf/BayshoreBlvd_OakdaleAve_AM_060413.txt,Bayshore Blvd -- Oakdale Ave / San Francisco  CA,x,Tue  Jun 04 2013,07:40-08:40,0,372,417,252,0,172,125,1064,0,0,0,0,35,25,1,0,0,1,0,4,,
sf/BayshoreBlvd_OakdaleAve_PM_060413.txt,Bayshore Blvd -- Oakdale Ave / San Francisco  CA,x,Tue  Jun 04 2013,16:50-17:50,0,825,452,204,1,283,108,732,0,0,0,0,22,25,1,0,0,4,0,8,,
sf/BayshoreBlvd_SilverAve_AM_060413.txt,Bayshore Blvd -- Silver Ave / San Francisco  CA,x,Tue  Jun 04 2013,07:35-08:35,38,224,23,34,191,22,73,789,215,172,228,128,31,32,90,3,3,4,0,8,,
sf/BayshoreBlvd_SilverAve_PM_060413.txt,Bayshore Blvd -- Silver Ave / San Francisco  CA,x,Tue  Jun 04 2013,16:50-17:50,124,423,32,53,181,24,85,463,246,220,285,82,31,45,84,0,0,1,3,4,,
sf/Brannan St -- Division St_Potrero Ave_040913_AM.txt,Brannan St -- Division St / San Francisco  CA,x,Tue  Apr 09 2013,08:00-09:00,77,146,9,0,121,13,40,404,295,0,560,151,21,27,7,0,242,4,5,11,,
sf/Brannan St -- Division St_Potrero Ave_040913_PM.txt,Brannan St -- Division St / San Francisco  CA,x,Tue  Apr 09 2013,16:45-17:45,213,241,12,7,270,11,55,318,287,0,460,155,31,34,25,0,42,6,105,3,,
sf/HaightSt_MasonicAve_AM_052913.txt,Masonic Ave -- Haight St / San Francisco  CA,x,Wed  May 29 2013,07:55-08:55,89,337,42,47,159,18,90,619,6,32,153,45,106,88,110,72,26,0,4,13,,
sf/HaightSt_MasonicAve_PM_052913.txt,Masonic Ave -- Haight St / San Francisco  CA,x,Wed  May 29 2013,16:55-17:55,91,629,25,49,188,35,32,351,5,16,135,49,376,176,411,233,22,0,12,2,,
sf/Sunset_Taraval_AM_052913.txt,Sunset Blvd -- Taraval St / San Francisco  CA,x,Wed  May 29 2013,07:35-08:35,62,1760,0,34,166,51,72,1915,0,63,161,106,24,25,24,6,0,0,0,0,,
sf/Sunset_Taraval_PM_052913.txt,Sunset Blvd -- Taraval St / San Francisco  CA,x,Wed  May 29 2013,17:00-18:00,96,1601,0,45,183,47,122,1736,0,36,169,61,101,36,34,22,2,0,1,0,,
sf/TaravalSt_19thSt_AM_052913.txt,19th St -- Taraval St / San Francisco  CA,x,Wed  May 29 2013,07:35-08:35,57,2412,0,49,240,6,106,2292,0,64,242,1,98,30,40,91,0,0,1,0,,
sf/TaravalSt_19thSt_PM_052913.txt,19th St -- Taraval St / San Francisco  CA,x,Wed  May 29 2013,16:05-17:05,102,2388,0,53,282,6,96,2352,0,84,204,8,152,74,86,63,1,1,3,0,,
sf/TaravalSt_SunsetBlvd_AM_052913.txt,Sunset Blvd -- Taraval St / San Francisco  CA,x,Wed  May 29 2013,07:35-08:35,62,1760,0,34,166,51,72,1915,0,63,161,106,24,25,24,6,0,0,0,0,,
sf/TaravalSt_SunsetBlvd_PM_052913.txt,Sunset Blvd -- Taraval St / San Francisco  CA,x,Wed  May 29 2013,17:00-18:00,96,1601,0,45,183,47,122,1736,0,36,169,61,101,36,34,22,2,0,1,0,,
sf/USF_IMP_Traffic_appendix_01112012.txt,Arguello Blvd -- Fulton St / San Francisco  CA,x,Thu  Sep 08 2011,07:50-08:50,61,150,153,83,670,3,30,342,18,9,1025,76,26,48,15,33,1,33,1,25,,
sf/USF_IMP_Traffic_appendix_01112012.txt,Arguello Blvd -- Fulton St / San Francisco  CA,x,Thu  Sep 08 2011,16:50-17:50,154,316,206,76,917,14,23,145,20,14,760,56,17,50,20,14,0,17,0,28,,
sf/USF_IMP_Traffic_appendix_01112012.txt,Arguello Blvd -- Fulton St / San Francisco  CA,x,Wed  Sep 14 2011,07:40-08:40,61,136,156,91,656,6,39,362,9,13,1025,95,33,56,18,27,1,29,0,38,,
sf/USF_IMP_Traffic_appendix_01112012.txt,Arguello Blvd -- Fulton St / San Francisco  CA,x,Wed  Sep 14 2011,16:50-17:50,164,270,186,97,887,15,22,168,20,23,723,52,23,36,15,29,0,32,1,38,,
sf/USF_IMP_Traffic_appendix_01112012.txt,Arguello Blvd -- Geary Blvd / San Francisco  CA,x,Thu  Sep 08 2011,07:55-08:55,40,273,107,87,997,0,59,383,43,39,2229,2,61,313,67,29,1,24,2,32,,
sf/USF_IMP_Traffic_appendix_01112012.txt,Arguello Blvd -- Geary Blvd / San Francisco  CA,x,Thu  Sep 08 2011,16:55-17:55,91,434,110,136,1943,1,68,297,45,63,1431,1,151,252,123,74,8,34,3,18,,
sf/USF_IMP_Traffic_appendix_01112012.txt,Arguello Blvd -- Geary Blvd / San Francisco  CA,x,Thu  Sep 15 2011,07:45-08:45,46,248,116,78,985,0,79,378,27,46,1788,0,96,269,64,44,2,34,13,32,,
sf/USF_IMP_Traffic_appendix_01112012.txt,Arguello Blvd -- Geary Blvd / San Francisco  CA,x,Thu  Sep 15 2011,16:55-17:55,58,422,127,131,1967,0,75,299,53,83,1483,5,170,183,153,109,0,37,1,24,,
sf/USF_IMP_Traffic_appendix_01112012.txt,Arguello Blvd -- Turk Blvd / San Francisco  CA,x,Mon  Sep 12 2011,07:45-08:45,11,232,76,53,273,70,124,447,21,32,499,42,26,67,56,23,2,50,0,37,,
sf/USF_IMP_Traffic_appendix_01112012.txt,Arguello Blvd -- Turk Blvd / San Francisco  CA,x,Thu  Sep 08 2011,07:50-08:50,19,272,69,60,250,54,112,439,17,19,423,45,24,69,55,35,2,24,0,41,,
sf/USF_IMP_Traffic_appendix_01112012.txt,Arguello Blvd -- Turk Blvd / San Francisco  CA,x,Thu  Sep 08 2011,16:55-17:55,22,471,52,71,478,189,32,269,16,31,179,33,17,64,55,41,3,41,3,29,,
sf/USF_IMP_Traffic_appendix_01112012.txt,Arguello Blvd -- Turk Blvd / San Francisco  CA,x,Thu  Sep 15 2011,17:00-18:00,41,477,55,89,492,194,38,257,21,42,188,30,27,58,50,57,1,39,3,31,,
sf/USF_IMP_Traffic_appendix_01112012.txt,Chabot Ter -- Turk Blvd / San Francisco  CA,x,Thu  Sep 08 2011,07:40-08:40,0,0,0,0,504,11,10,0,23,12,533,1,32,32,23,109,0,0,0,0,,
sf/USF_IMP_Traffic_appendix_01112012.txt,Chabot Ter -- Turk Blvd / San Francisco  CA,x,Thu  Sep 08 2011,16:55-17:55,0,0,0,0,817,7,8,0,10,15,270,0,45,27,13,120,2,0,1,0,,
sf/USF_IMP_Traffic_appendix_01112012.txt,Chabot Terr -- Turk Blvd / San Francisco  CA,x,Thu  Sep 15 2011,07:40-08:40,0,0,0,0,503,10,10,0,21,19,599,1,66,41,34,129,1,0,0,0,,
sf/USF_IMP_Traffic_appendix_01112012.txt,Chabot Terr -- Turk Blvd / San Francisco  CA,x,Thu  Sep 15 2011,17:00-18:00,0,0,0,0,888,14,8,0,20,15,277,0,56,30,41,178,0,0,0,0,,
sf/USF_IMP_Traffic_appendix_01112012.txt,Masonic Ave -- Fell St / San Francisco  CA,x,Thu  Sep 08 2011,07:55-08:55,401,498,0,203,1237,121,0,1535,75,0,0,0,18,48,403,55,0,2,0,1,,
sf/USF_IMP_Traffic_appendix_01112012.txt,Masonic Ave -- Fell St / San Francisco  CA,x,Thu  Sep 08 2011,16:45-17:45,714,931,0,136,1883,219,0,878,4,0,0,0,21,48,381,59,0,0,0,1,,
sf/USF_IMP_Traffic_appendix_01112012.txt,Masonic Ave -- Fell St / San Francisco  CA,x,Thu  Sep 15 2011,07:50-08:50,417,460,0,233,1261,158,1,1483,61,0,0,0,29,43,429,0,0,1,0,1,,
sf/USF_IMP_Traffic_appendix_01112012.txt,Masonic Ave -- Fell St / San Francisco  CA,x,Thu  Sep 15 2011,17:00-18:00,703,940,0,151,1962,205,0,889,1,0,0,0,38,82,426,78,0,0,1,1,,
sf/USF_IMP_Traffic_appendix_01112012.txt,Masonic Ave -- Fulton St / San Francisco  CA,x,Thu  Sep 08 2011,07:55-08:55,71,872,2,26,209,21,45,1719,3,28,436,105,44,140,103,72,8,3,0,0,,
